 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | ttZp2500 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000102969 / 0.167049 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00241528 / -0.142058 | 0 / 0 | 0 / 0 |
 | gamma_stat_CRttW2l_plus_nJets_bin_0 | 0.00264698 / -0.00261995 | 0.00403458 / -0.00399338 | 0.00432809 / -0.00428388 | 0.00513693 / -0.00508447 | 0.00688956 / -0.0068192 | 0.00784072 / -0.00776064 | 0.00530878 / -0.00525455 | 0.0110648 / -0.0109518 | 0.00615746 / -0.00609457 | 0.0059488 / -0.00588805 | 0.0062586 / -0.00619468 | 0.00685255 / -0.00678256 | 0.00778965 / -0.00771009 | 0.00635322 / -0.00628833 | 0.0103233 / -0.0102179 | 0.00798409 / -0.00790255 | 0.00927656 / -0.00918182 | 0.00762537 / -0.00754749 | 0.00520856 / -0.00515536 | 0.0155957 / -0.0154364 | 2.12281e-10 / -2.10113e-10 | 1.23374e-09 / -1.22114e-09 | 5.25126e-09 / -5.19763e-09 | 2.93386e-08 / -2.9039e-08 | 1.32237e-07 / -1.30887e-07 | 0.00520856 / -0.00515536 | 0.00319219 / -0.00315959 |
 | gamma_stat_CRttW2l_plus_nJets_bin_1 | 0.00739935 / -0.00731512 | 0.00762267 / -0.0075359 | 0.0087722 / -0.00867235 | 0.00816826 / -0.00807528 | 0.00706683 / -0.00698639 | 0.00622682 / -0.00615594 | 0.00739163 / -0.00730749 | 0.00442518 / -0.00437481 | 0.0103838 / -0.0102656 | 0.00644871 / -0.0063753 | 0.00773308 / -0.00764506 | 0.00668362 / -0.00660754 | 0.00536147 / -0.00530044 | 0.00747652 / -0.00739141 | 0.00515651 / -0.00509781 | 0.00730826 / -0.00722507 | 0.00590316 / -0.00583596 | 0.00771563 / -0.00762781 | 0.00574081 / -0.00567546 | 1.77037e-10 / -1.75022e-10 | 0.0171581 / -0.0169628 | 1.35982e-09 / -1.34434e-09 | 5.78788e-09 / -5.72199e-09 | 3.23367e-08 / -3.19686e-08 | 1.4575e-07 / -1.44091e-07 | 0.00574081 / -0.00567546 | 0.0100354 / -0.00992116 |
 | gamma_stat_CRttW2l_plus_nJets_bin_2 | 0.0150489 / -0.0146766 | 0.0112025 / -0.0109254 | 0.00796611 / -0.00776901 | 0.0073376 / -0.00715606 | 0.0055203 / -0.00538372 | 0.00506655 / -0.0049412 | 0.00862908 / -0.00841558 | 0.00123002 / -0.00119959 | 1.29073e-08 / -1.25879e-08 | 0.00915391 / -0.00892742 | 0.00558168 / -0.00544358 | 0.00645212 / -0.00629248 | 0.00709209 / -0.00691661 | 0.00591681 / -0.00577041 | 0.00141564 / -0.00138062 | 0.00234284 / -0.00228487 | 0.00230578 / -0.00224873 | 0.00231488 / -0.00225761 | 0.0125 / -0.0121907 | 3.85479e-10 / -3.75941e-10 | 5.09451e-10 / -4.96846e-10 | 0.0377138 / -0.0367806 | 0.0377137 / -0.0367806 | 0.0377136 / -0.0367805 | 0.0377131 / -0.03678 | 0.0125 / -0.0121907 | 0.00793644 / -0.00774008 |
 | NF_{Mat. Conv.} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.302365 / -0.280152 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{Low m_{#gamma^{*}}} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.208795 / -0.190847 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF e} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.324321 / -0.309022 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF m} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.154032 / -0.147993 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{t#bar{t}W^{+}@4j} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0.134842 / -0.134238 | 0 / 0 |
 | a0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.140247 / -0.138167 | 0.339436 / -0.286487 | 0.594284 / -0.42023 | 0.911774 / -0.533974 | 1.30346 / -0.628037 | 2.13707 / -0.737744 | 0 / 0 |
 | a1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.29169 / -0.286249 | 0.526341 / -0.413492 | 0.727674 / -0.489413 | 0.906567 / -0.541296 | 1.06905 / -0.579659 | 1.29673 / -0.622601 | 0 / 0 |
 | mu_signal | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 102.485 / -94.7272 |
