 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | ttZp1000 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.199811 / -0.198154 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.198545 / 0.198618 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.195092 / -0.195037 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.19794 / 0.197869 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.196117 / 0.196116 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.198621 / 0.198877 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.198775 / -0.198519 | 0 / 0 | 0 / 0 |
 | gamma_stat_CRttW2l_minus_nJets_bin_0 | 0.0035918 / -0.00354475 | 0.00503689 / -0.00497091 | 0.00727464 / -0.00717933 | 0.00628419 / -0.00620186 | 0.00870848 / -0.0085944 | 0.00981793 / -0.00968931 | 0.00686234 / -0.00677244 | 0.0144781 / -0.0142885 | 0.00768229 / -0.00758164 | 0.00850002 / -0.00838867 | 0.00923225 / -0.0091113 | 0.00923058 / -0.00910966 | 0.00973045 / -0.00960297 | 0.00992104 / -0.00979106 | 0.0131787 / -0.013006 | 0.0106901 / -0.01055 | 0.0132645 / -0.0130907 | 0.0116677 / -0.0115148 | 7.09013e-08 / -6.99724e-08 | 0.0199407 / -0.0196795 | 4.95145e-10 / -4.88658e-10 | 2.90529e-09 / -2.86722e-09 | 1.16719e-08 / -1.1519e-08 | 7.0686e-08 / -6.97599e-08 | 3.24667e-07 / -3.20414e-07 | 0.00667681 / -0.00658934 | 0.00428639 / -0.00423023 |
 | gamma_stat_CRttW2l_minus_nJets_bin_1 | 0.00873074 / -0.00861126 | 0.00910612 / -0.0089815 | 0.0104668 / -0.0103235 | 0.00981829 / -0.00968391 | 0.00864312 / -0.00852483 | 0.00762678 / -0.0075224 | 0.00881301 / -0.00869239 | 0.00479025 / -0.00472469 | 0.0101272 / -0.00998864 | 0.00799506 / -0.00788564 | 0.00655373 / -0.00646403 | 0.00696759 / -0.00687223 | 0.00407085 / -0.00401514 | 0.00663761 / -0.00654677 | 0.0061606 / -0.00607628 | 0.00798397 / -0.00787471 | 0.0055839 / -0.00550748 | 0.00672682 / -0.00663476 | 0.0206865 / -0.0204034 | 3.91036e-10 / -3.85684e-10 | 0.0206866 / -0.0204035 | 2.99526e-09 / -2.95427e-09 | 1.20333e-08 / -1.18687e-08 | 7.28751e-08 / -7.18777e-08 | 3.34722e-07 / -3.30141e-07 | 0.00688358 / -0.00678937 | 0.0110635 / -0.0109121 |
 | gamma_stat_CRttW2l_minus_nJets_bin_2 | 0.0162663 / -0.0158323 | 0.0125612 / -0.0122261 | 0.00528345 / -0.00514248 | 0.00859607 / -0.00836672 | 0.00594788 / -0.00578919 | 0.00568183 / -0.00553023 | 0.00939754 / -0.00914681 | 0.00173273 / -0.0016865 | 0.00511865 / -0.00498209 | 0.00765624 / -0.00745197 | 0.00900366 / -0.00876344 | 0.00818906 / -0.00797057 | 0.0128896 / -0.0125457 | 0.00742554 / -0.00722742 | 0.00168874 / -0.00164369 | 0.00318753 / -0.00310249 | 0.00265255 / -0.00258178 | 0.0036678 / -0.00356994 | 1.44329e-07 / -1.40478e-07 | 7.72095e-10 / -7.51496e-10 | 1.00793e-09 / -9.81042e-10 | 0.0408877 / -0.0397968 | 0.0408876 / -0.0397967 | 0.0408874 / -0.0397965 | 0.0408863 / -0.0397955 | 0.0135915 / -0.0132289 | 0.0102312 / -0.00995825 |
 | NF_{Mat. Conv.} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.318944 / -0.286401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{Low m_{#gamma^{*}}} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.210049 / -0.191981 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF e} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.325288 / -0.30881 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF m} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.154898 / -0.148027 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
